mid,lid,text
6453012	,0	,瓦洛纳是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。	
6453012	,1	,该地的面积和人口皆未知。	
6453012	,2	,瓦洛纳的座标为，而该地的平均海拔高度为19米（即62英尺）。	
6453013	,3	,《The Good Wife》。	
6453013	,4	,2019年1月13日起于TBS电视网周日剧场播出的电视连续。	
6453013	,5	,剧 ，由常盘贵子主演。	
6453013	,6	,本作改编自美国・哥伦比亚广播公司于 2009年9月22日至。	
6453013	,7	,2016年5月8日播出的同名剧集《Good Wife》。	
6453013	,8	,女主角莲见杏子的检察官丈夫，因为涉嫌收贿被捕之外。	
6453013	,9	,婚外情丑闻也同时曝光。	
6453013	,10	,为了生计，莲见杏子只好在已成为家庭主妇的16年之后。	
6453013	,11	,重返律师职场，香港由myTV SUPER紧贴日本点播。	
6453014	,12	,沃尔登是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。	
6453014	,13	,该地的面积和人口皆未知。	
6453014	,14	,沃尔登的座标为，而该地的平均海拔高度为28米（即92英尺）。	
6453015	,15	,沃尔纳特高地是位于美国加利福尼亚州康特拉科斯塔县的一个非建。	
6453015	,16	,制地区，该地的面积和人口皆未知，沃尔纳特高地的座标为。	
6453015	,17	,而该地的平均海拔高度为61米（即200英尺）。	
6453016	,18	,韦纳是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。	
6453016	,19	,该地的面积和人口皆未知。	
6453016	,20	,韦纳的座标为。	
6453016	,21	,而该地的平均海拔高度为2米（即7英尺）。	
6453019	,22	,海岸里为中华民国台湾省苗栗县苑里镇辖下之一里。	
6453019	,23	,位于苑里西部靠海地区，因居民多捕鱼为生。	
6453019	,24	,有一小型港口供渔民使用，但因长期淤积，使用情形不如以往发达。	
6453019	,25	,境内有台61线西部滨海公路通过。	
6453029	,26	,圣伯多禄主教座堂位于宏都拉斯圣佩德罗苏拉。	
6453029	,27	,建于1949年。	
6453029	,28	,由建筑师José Francisco Zalazar设计。	
6453029	,29	,它以圣彼得命名。	
6453029	,30	,它是洪都拉斯的主要大教堂之一，其中大部分信徒为罗马天主教徒。	
6453042	,31	,克丽丝塔·佩尔梅科斯基（，），旧姓莱赫滕梅基。	
6453042	,32	,生于皮尔卡区伊卡利宁。	
6453042	,33	,是一名芬兰女子越野滑雪运动员，她在12岁时开始练习越野滑雪。	
6453042	,34	,当时她在一场比赛中取得好成绩。	
6453042	,35	,之后她被邀请到当地的一家俱乐部去参与正式训练。	
6453042	,36	,她的丈夫Tommi是一名物理治疗师。	
6453042	,37	,两人在2014年8月结婚。	
6453042	,38	,后来Tommi也成了她的教练。	
6453044	,39	,菲利普·阿尔方斯·弗雷赫尔·穆默·冯·施瓦茨恩斯坦（。	
6453044	,40	,或“穆默”。	
6453044	,41	,）。	
6453044	,42	,是德意志帝国的外交官，曾出任驻日本。	
6453044	,43	,乌克兰，卢森堡公使，1900年中国爆发义和团运动。	
6453044	,44	,公使克林德被杀后，临时接任德意志帝国驻中国公使。	
6453044	,45	,后被义和团围困北京，1901年。	
6453044	,46	,作为德意志帝国代表与大清国钦命全权大臣李鸿章。	
6453044	,47	,奕劻进行谈判。	
6453044	,48	,之后签署了《辛丑条约》，此后。	
6453044	,49	,他和慈禧太后保持着良好的关系。	
6453044	,50	,还用相机拍摄了北京大量的照片并且流传至今。	
6453045	,51	,"亚当·罗伯特·欧塔维诺（, ）。	"
6453045	,52	,为美国职棒大联盟纽约洋基的投手。	
6453045	,53	,他先前曾待过红雀与洛矶两队，2006年大联盟选秀。	
6453045	,54	,红雀队以第一轮30顺位选进了欧塔维诺，他从1A起步。	
6453045	,55	,2008年升上2A。	
6453045	,56	,2009年升上3A。	
6453045	,57	,上半季成绩是惨淡的0胜9败，不过下半季投出7胜3败。	
6453045	,58	,2009年球季结束后。	
6453045	,59	,红雀将欧塔维诺加入了40人名单，2010年5月29日。	
6453045	,60	,欧塔维诺以先发投手的身分登板，该年他出赛5场。	
6453045	,61	,有3场先发，2010年球季结束后。	
6453045	,62	,欧塔维诺被移出40人名单，2011年整季都待在3A。	
6453045	,63	,2012年4月3日，科罗拉多洛矶签下欧塔维诺。	
6453045	,64	,并将他转型为后援投手。	
6453045	,65	,该季他投出5胜1败。	
6453045	,66	,防御率却高达4.56，2013年，他将球衣背号改为0号。	
6453045	,67	,该季他的防御率下降到2.64。	
6453045	,68	,2014年，欧塔维诺1胜4败。	
6453045	,69	,防御率3.60，2015年。	
6453045	,70	,球队原终结者LaTroy Hawkins表现不尽理想。	
6453045	,71	,欧塔维诺成为新任终结者。	
6453045	,72	,然而，2015年5月4日，欧塔维诺因为右手肘受伤。	
6453045	,73	,动了Tommy John手术，球季提前报销。	
6453045	,74	,2015年球季结束后。	
6453045	,75	,洛矶队和他签下了3年1040万美元的合约。	
6453045	,76	,2016年。	
6453045	,77	,他缔造了个人出赛连续37场，连投了31局无失分的队史纪录。	
6453045	,78	,2018年，他投出6胜4败，防御率2.34。	
6453045	,79	,拿下大联盟最多次的34次中继成功，2019年1月24日。	
6453045	,80	,洋基队以三年2700万美元的合约签下欧塔维诺，加入洋基后。	
6453045	,81	,欧塔维诺成为洋基队史上第一位使用0号做为背号的球员。	
6453045	,82	,也是洋基队唯一一位使用单数背号的球员，ref></ref>	
6453051	,83	,斯蒂庞克US6是美国二战时期一个与5吨6x4卡车系列。	
6453051	,84	,由斯蒂庞克公司与公司制造。	
6453051	,85	,1939-1940年。	
6453051	,86	,美国陆军军械部队招标吨战术6×6越野车，斯蒂庞克。	
6453051	,87	,通用汽车下属的，提交了设计并于1941年投产。	
6453051	,88	,US-6 吨战术6×6越野车与相关的5吨6x4卡车。	
6453051	,89	,"总计生产了13个车型219,882辆。	"
6453051	,90	,"其中197,678辆在印第安纳州南本德工厂生产。	"
6453051	,91	," REO公司在芝加哥工厂从1944年生产了22,204辆U。	"
6453051	,92	,S6 U9卡车（无前绞盘），1945年停产。	
6453051	,93	,大部分车辆根据租借法案援助苏联。	
6453051	,94	,因为其竞争对手-ton at Engines of the。	
6453051	,95	, Red Army]	
6453055	,96	,出水田真纪（Izumida Maki，）是日本田径运动员。	
6453055	,97	,专攻长跑项目。	
6453055	,98	,她代表日本参加2014年亚洲青年田径锦标赛女子5000公尺。	
6453055	,99	,比赛，获得金牌，出生于神奈川县横滨市绿区。	
6453055	,100	,小学入学时迁居至横滨市矶子区生活。	
6453055	,101	,父亲出水田洋，母亲田村有纪（旧姓）皆为驿传选手。	
6453055	,102	,她从12岁开始接触田径运动。	
6453055	,103	,现效力于第一生命集团女子陆上竞技部。	
6453061	,104	,尤莉娅·谢尔盖耶芙娜·别洛鲁科娃（。	
6453061	,105	,）生于科米共和国索斯诺戈尔斯克。	
6453061	,106	,是一名俄罗斯女子越野滑雪运动员。	
6453061	,107	,别洛鲁科娃六岁时开始练习滑雪（一说十岁）。	
6453061	,108	,一开始她和同龄人差别不大，后来她的能力有所提升。	
6453061	,109	,2014年，她在芬兰拉赫蒂完成了个人的世界杯分站赛首秀。	
6453072	,110	,海南热带雨林国家公园是一个位于中国海南省的国家公园。	
6453072	,111	,范围包括五指山，鹦哥岭。	
6453072	,112	,尖峰岭，霸王岭，吊罗山等5个国家级自然保护区。	
6453072	,113	,佳西等3个省级自然保护区。	
6453072	,114	,黎母山等4个国家森林公园。	
6453072	,115	,阿陀岭等6个省级森林公园与相关国有林场。	
6453072	,116	,该国家公园旨在更加有效保护热带雨林生态系统的原真性和完整性。	
6453084	,117	,张洋铭来自吉林省通化市，是一名中国男子高山滑雪运动员。	
6453084	,118	,他在2004年进入通化市运动学校，开始练习高山滑雪。	
6453084	,119	,2015年，他加入国家队，2018年。	
6453084	,120	,他获得平昌冬奥参赛资格，在冬奥期间。	
6453084	,121	,他在唯一的参赛项目男子大曲道上获得第69名。	
6453086	,122	,完颜宗叙，本名德寿。	
6453086	,123	,女真族，姓完颜，鲁王完颜阇母第四子，金朝将领。	
6453086	,124	,金世宗时参知政事。	
6453086	,125	,完颜宗叙少年时身形奇伟，志向远大，喜欢和别人谈论军事。	
6453086	,126	,海陵王完颜亮天德二年（1150年）。	
6453086	,127	,完颜宗叙出任海陵王的护卫。	
6453086	,128	,被授予了武义将军的职务。	
6453086	,129	,第二年，授任为世袭谋克，提升为御院通进，翰林待制。	
6453086	,130	,兼修起居注。	
6453086	,131	,转任国子司业。	
6453086	,132	,兼左补阙，正隆元年（1156年）。	
6453086	,133	,转任符宝郎，在皇宫内共任职五年，转任大宗正承。	
6453086	,134	,正隆五年（1160年）。	
6453086	,135	,担任侍卫亲军马军都指挥使。	
6453086	,136	,负责保卫皇宫，改任左骁骑都指挥使，正隆六年（1161年）。	
6453086	,137	,以咸平（今辽宁开原东北）尹兼本路兵马都总管。	
6453086	,138	,参与镇压契丹人撒八。	
6453086	,139	,移剌窝斡反金。	
6453086	,140	,金世宗即位，完颜宗叙上表迎奉，授宁昌军节度使。	
6453086	,141	,后拜兵部尚书，领右翼都统。	
6453086	,142	,进兵北边，与仆散忠义伐契丹有功，入为右宣徽使。	
6453086	,143	,大定三年（1163年），南宋攻打海州。	
6453086	,144	,金世宗授完颜宗叙为元帅右监军。	
6453086	,145	,驻山东，分兵据守要地。	
6453086	,146	,防御南宋，大定五年（1165年）。	
6453086	,147	,完颜宗叙领兵伐宋，屡破宋军。	
6453086	,148	,授为河南路统军使，大定十年（1170年）。	
6453086	,149	,入朝为参知政事，大定十一年（1171年），在家中去世。	
6453088	,150	,道格拉斯·葛瑞罕（，）是一名美裔英国传记作家。	
6453088	,151	,演员和电影制片人，亦为作家和海伦·乔依·戴维德曼的儿子。	
6453088	,152	,C·S·路易斯的继子，葛瑞罕于1945年出生于美国纽约市。	
6453088	,153	,是威廉·林赛·葛瑞罕和海伦·乔依·戴维德曼的儿子。	
6453088	,154	,有一个兄长大卫·林赛·葛瑞罕。	
6453088	,155	,1954年。	
6453088	,156	,因双亲分居。	
6453088	,157	,葛瑞罕随著母亲与兄长移居英国。	
6453088	,158	,他就读萨里郡的丹恩皇家小学。	
6453088	,159	,学费皆由C·S·路易斯资付，1956年。	
6453088	,160	,母亲与路易斯结婚。	
6453088	,161	,葛瑞罕因此成为路易斯的继子，1960年。	
6453088	,162	,母亲因癌症病逝。	
6453088	,163	,1963年。	
6453088	,164	,继父路易斯也去世了。	
6453088	,165	,道格拉斯·葛瑞罕与母亲和继父一样信仰基督教。	
6453088	,166	,但其兄长大卫却信仰犹太教。	
6453088	,167	,葛瑞罕也在纳尼亚传奇系列电影中担任联合制片人。	
6453088	,168	,确保电影剧本忠于原著小说。	
6453088	,169	,他还于该系列电影第一部《纳尼亚传奇：狮子·女巫·魔衣橱》中。	
6453088	,170	,为电台播音员配音。	
6453088	,171	,于第二部《纳尼亚传奇：贾思潘王子》中客串饰演Telmari。	
6453088	,172	,ne crier。	
6453088	,173	,于第三部《纳尼亚传奇：黎明行者号》客串饰演一名奴隶买家。	
6453088	,174	,葛瑞罕于1927年2月与梅丽结婚。	
6453088	,175	,他们有三个儿子和两个女儿，在1993年电影《》。	
6453088	,176	,道格拉斯·葛瑞罕由约瑟夫·马杰罗饰演。	
