,mid,title,text
0,6453012	,瓦洛纳 (加利福尼亚州)	,瓦洛纳是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。该地的面积和人口皆未知。瓦洛纳的座标为，而该地的平均海拔高度为19米（即62英尺）。	
1,6453013	,法庭女王 (日本电视剧)	,《The Good Wife》，2019年1月13日起于TBS电视网周日剧场播出的电视连续剧 ，由常盘贵子主演。本作改编自美国・哥伦比亚广播公司于 2009年9月22日至2016年5月8日播出的同名剧集《Good Wife》。女主角莲见杏子的检察官丈夫，因为涉嫌收贿被捕之外，婚外情丑闻也同时曝光。为了生计，莲见杏子只好在已成为家庭主妇的16年之后，重返律师职场。香港由myTV SUPER紧贴日本点播。	
2,6453014	,沃尔登 (加利福尼亚州)	,沃尔登是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。该地的面积和人口皆未知。沃尔登的座标为，而该地的平均海拔高度为28米（即92英尺）。	
3,6453015	,沃尔纳特高地 (加利福尼亚州)	,沃尔纳特高地是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。该地的面积和人口皆未知。沃尔纳特高地的座标为，而该地的平均海拔高度为61米（即200英尺）。	
4,6453016	,维尔纳 (加利福尼亚州)	,韦纳是位于美国加利福尼亚州康特拉科斯塔县的一个非建制地区。该地的面积和人口皆未知。韦纳的座标为，而该地的平均海拔高度为2米（即7英尺）。	
5,6453019	,海岸里	,海岸里为中华民国台湾省苗栗县苑里镇辖下之一里，位于苑里西部靠海地区，因居民多捕鱼为生，有一小型港口供渔民使用，但因长期淤积，使用情形不如以往发达。境内有台61线西部滨海公路通过。	
6,6453029	,圣伯多禄主教座堂 (圣佩德罗苏拉)	,圣伯多禄主教座堂位于宏都拉斯圣佩德罗苏拉，建于1949年，由建筑师José Francisco Zalazar设计；它以圣彼得命名。它是洪都拉斯的主要大教堂之一，其中大部分信徒为罗马天主教徒。	
7,6453042	,克丽丝塔·佩尔梅科斯基	,克丽丝塔·佩尔梅科斯基（，），旧姓莱赫滕梅基，生于皮尔卡区伊卡利宁，是一名芬兰女子越野滑雪运动员。她在12岁时开始练习越野滑雪，当时她在一场比赛中取得好成绩，之后她被邀请到当地的一家俱乐部去参与正式训练。她的丈夫Tommi是一名物理治疗师，两人在2014年8月结婚，后来Tommi也成了她的教练。	
8,6453044	,阿尔方斯·穆默·冯·施瓦茨恩斯坦	,菲利普·阿尔方斯·弗雷赫尔·穆默·冯·施瓦茨恩斯坦（，或“穆默”，；），是德意志帝国的外交官，曾出任驻日本、乌克兰、卢森堡公使。1900年中国爆发义和团运动，公使克林德被杀后，临时接任德意志帝国驻中国公使，后被义和团围困北京。1901年，作为德意志帝国代表与大清国钦命全权大臣李鸿章、奕劻进行谈判，之后签署了《辛丑条约》。此后，他和慈禧太后保持着良好的关系，还用相机拍摄了北京大量的照片并且流传至今。	
9,6453045	,亚当·欧塔维诺	,"亚当·罗伯特·欧塔维诺（, ），为美国职棒大联盟纽约洋基的投手。他先前曾待过红雀与洛矶两队。2006年大联盟选秀，红雀队以第一轮30顺位选进了欧塔维诺。他从1A起步。2008年升上2A，2009年升上3A，上半季成绩是惨淡的0胜9败，不过下半季投出7胜3败。2009年球季结束后，红雀将欧塔维诺加入了40人名单。2010年5月29日，欧塔维诺以先发投手的身分登板。该年他出赛5场，有3场先发。2010年球季结束后，欧塔维诺被移出40人名单。2011年整季都待在3A。2012年4月3日，科罗拉多洛矶签下欧塔维诺。并将他转型为后援投手。该季他投出5胜1败，防御率却高达4.56。2013年，他将球衣背号改为0号。该季他的防御率下降到2.64。2014年，欧塔维诺1胜4败，防御率3.60。2015年，球队原终结者LaTroy Hawkins表现不尽理想，欧塔维诺成为新任终结者。然而，2015年5月4日，欧塔维诺因为右手肘受伤，动了Tommy John手术，球季提前报销。2015年球季结束后，洛矶队和他签下了3年1040万美元的合约。2016年，他缔造了个人出赛连续37场，连投了31局无失分的队史纪录。2018年，他投出6胜4败，防御率2.34，拿下大联盟最多次的34次中继成功。2019年1月24日，洋基队以三年2700万美元的合约签下欧塔维诺。加入洋基后，欧塔维诺成为洋基队史上第一位使用0号做为背号的球员，也是洋基队唯一一位使用单数背号的球员。ref></ref>	"
